Date,Name,Year,Letterboxd URI,Rating
2021-01-22,Deepwater Horizon,2016,https://boxd.it/aqiI,3.5
2021-01-22,The Magnificent Seven,2016,https://boxd.it/aqhg,3.5
2021-01-22,Sausage Party,2016,https://boxd.it/aeBC,2.5
2021-01-22,Jason Bourne,2016,https://boxd.it/a5Bi,3
2021-01-22,The BFG,2016,https://boxd.it/9S9M,3.5
2021-01-22,The Legend of Tarzan,2016,https://boxd.it/9Sbe,3
2021-01-22,Independence Day: Resurgence,2016,https://boxd.it/9S9U,2.5
2021-01-22,Me Before You,2016,https://boxd.it/a4V4,4
2021-01-22,The Nice Guys,2016,https://boxd.it/9S9g,4
2021-01-22,The Jungle Book,2016,https://boxd.it/8UgW,4
2021-01-22,10 Cloverfield Lane,2016,https://boxd.it/aNGi,4
2021-01-22,Zootopia,2016,https://boxd.it/8QdQ,4
2021-01-22,The Revenant,2015,https://boxd.it/8H5e,4.5
2021-01-22,The Hateful Eight,2015,https://boxd.it/8gw8,4.5
2021-01-22,The Big Short,2015,https://boxd.it/8H6O,4.5
2021-01-22,Spotlight,2015,https://boxd.it/8H6M,4.5
2021-01-22,Creed,2015,https://boxd.it/8H66,4
2021-01-22,Steve Jobs,2015,https://boxd.it/8H6Y,4
2021-01-22,Sicario,2015,https://boxd.it/8H74,4
2021-01-22,The Martian,2015,https://boxd.it/8H6A,4.5
2021-01-22,Bridge of Spies,2015,https://boxd.it/8H5W,4
2021-01-22,The Man from U.N.C.L.E.,2015,https://boxd.it/8H5Q,4
2021-01-22,Ant-Man,2015,https://boxd.it/8H5A,3.5
2021-01-22,Terminator Genisys,2015,https://boxd.it/8H4M,2.5
2021-01-22,Spy,2015,https://boxd.it/8H4k,4
2021-01-22,Tomorrowland,2015,https://boxd.it/8H4g,3
2021-01-22,Mad Max: Fury Road,2015,https://boxd.it/2DjO,4.5
2021-01-22,Ex Machina,2014,https://boxd.it/7T2k,4.5
2021-01-22,Whiplash,2014,https://boxd.it/7bQA,5
2021-01-22,Nightcrawler,2014,https://boxd.it/7pY0,4.5
2021-01-22,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/6hQK,4.5
2021-01-22,The Imitation Game,2014,https://boxd.it/6hQG,4.5
2021-01-22,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4.5
2021-01-22,The Lego Movie,2014,https://boxd.it/4zLy,4
2021-01-22,Her,2013,https://boxd.it/4O24,5
2021-01-22,The Wolf of Wall Street,2013,https://boxd.it/3Es2,5
2021-01-22,12 Years a Slave,2013,https://boxd.it/4Q9e,4.5
2021-01-22,Prisoners,2013,https://boxd.it/4E5i,4.5
2021-01-22,Rush,2013,https://boxd.it/4O1w,4.5
2021-01-22,Gravity,2013,https://boxd.it/4O1Q,4
2021-01-22,The Great Gatsby,2013,https://boxd.it/4O1E,4
2021-01-22,Django Unchained,2012,https://boxd.it/2cCk,5
2021-01-22,Life of Pi,2012,https://boxd.it/3gZo,4.5
2021-01-22,The Dark Knight Rises,2012,https://boxd.it/2cIw,4.5
2021-01-22,The Avengers,2012,https://boxd.it/2tX2,4.5
2021-01-22,The Intouchables,2011,https://boxd.it/2FT0,5
2021-01-22,The Help,2011,https://boxd.it/2E4Q,4.5
2021-01-22,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1f6E,4.5
2021-01-22,Midnight in Paris,2011,https://boxd.it/2E4a,4
2021-01-22,Source Code,2011,https://boxd.it/1W7O,4
2021-01-22,The King's Speech,2010,https://boxd.it/1T2o,4.5
2021-01-22,Black Swan,2010,https://boxd.it/1Te2,4.5
2021-01-22,Inception,2010,https://boxd.it/1skk,5
2021-01-22,Shutter Island,2010,https://boxd.it/1U82,4.5
2021-01-22,The Social Network,2010,https://boxd.it/17ue,5
2021-01-22,Up in the Air,2009,https://boxd.it/1T3o,4
2021-01-22,The Hangover,2009,https://boxd.it/1T4g,4
2021-01-22,Gran Torino,2008,https://boxd.it/1T8A,4.5
2021-01-22,The Curious Case of Benjamin Button,2008,https://boxd.it/1T7Q,4
2021-01-22,The Dark Knight,2008,https://boxd.it/2b0k,5
2021-01-22,There Will Be Blood,2007,https://boxd.it/20Z2,5
2021-01-22,No Country for Old Men,2007,https://boxd.it/21ew,5
2021-01-22,The Departed,2006,https://boxd.it/28MA,5
2021-01-22,The Prestige,2006,https://boxd.it/21zY,4.5
2021-01-22,V for Vendetta,2005,https://boxd.it/29Xg,4.5
2021-01-22,Batman Begins,2005,https://boxd.it/2aIg,4.5
2021-01-22,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,5
2021-01-22,Million Dollar Baby,2004,https://boxd.it/2a1M,4.5
2021-01-22,Kill Bill: Vol. 2,2004,https://boxd.it/2a3G,4.5
2021-01-22,The Last Samurai,2003,https://boxd.it/2a0o,4
2021-01-22,Kill Bill: Vol. 1,2003,https://boxd.it/2a3s,4.5
2021-01-22,City of God,2002,https://boxd.it/2a2a,5
2021-01-22,The Pianist,2002,https://boxd.it/2aqc,5
2021-01-22,A Beautiful Mind,2001,https://boxd.it/2a3E,4.5
2021-01-22,Gladiator,2000,https://boxd.it/2b9M,4.5
2021-01-22,American Beauty,1999,https://boxd.it/2a7q,5
2021-01-22,Fight Club,1999,https://boxd.it/2a9q,5
2021-01-22,Saving Private Ryan,1998,https://boxd.it/2a4Y,5
2021-01-22,Life Is Beautiful,1997,https://boxd.it/2beY,5
2021-01-22,Good Will Hunting,1997,https://boxd.it/2a0e,4.5
2021-01-22,Titanic,1997,https://boxd.it/2a2k,4.5
2021-01-22,The Green Mile,1999,https://boxd.it/2a2s,5
2021-01-22,Se7en,1995,https://boxd.it/2a0U,5
2021-01-22,Forrest Gump,1994,https://boxd.it/728,5
2021-01-22,The Shawshank Redemption,1994,https://boxd.it/2aHi,5
2021-01-22,Schindler's List,1993,https://boxd.it/2aq2,5
2021-01-22,The Silence of the Lambs,1991,https://boxd.it/2aHW,5
2021-01-22,GoodFellas,1990,https://boxd.it/29FA,5
2021-01-22,Dead Poets Society,1989,https://boxd.it/2aSg,5
2021-01-22,Cinema Paradiso,1988,https://boxd.it/2a8e,5
2021-01-22,Full Metal Jacket,1987,https://boxd.it/29VQ,4.5
2021-01-22,The Shining,1980,https://boxd.it/29Nu,5
2021-01-22,Apocalypse Now,1979,https://boxd.it/6ZS,5
2021-01-22,Alien,1979,https://boxd.it/2awY,5
2021-01-22,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,5
2021-01-22,The Godfather Part II,1974,https://boxd.it/2aNq,5
2021-01-22,The Godfather,1972,https://boxd.it/2aNK,5
2021-01-22,2001: A Space Odyssey,1968,https://boxd.it/2bf0,5
2021-01-22,The Good the Bad and the Ugly,1966,https://boxd.it/2ape,5
2021-01-22,Psycho,1960,https://boxd.it/2ab2,5
2021-01-22,12 Angry Men,1957,https://boxd.it/2auI,5
